name,slope,intercept,r_squared,avg_l_min,avg_global_C,avg_local_C,density,avg_k,nodes,edges
Cardiff-Newport-Bristol-Bath,26.18278565,1.350248235,0.996835713,837.4348922,0.000517879,0.000213407,5.72E-06,2.07278824,362641,375839
Casablanca,9.354644562,0.950091791,0.979574812,117.1550057,0.004420215,0.002573067,4.33E-05,2.533766345,58505,74119
Chengdu,30.74767189,1.151503337,0.992942053,232.1231364,0.003321839,0.001543373,1.77E-05,2.210943429,125171,138373
Chennai,14.85261685,0.428089918,0.995816198,267.4085113,0.001601947,0.000660657,2.17E-05,2.176453578,100287,109135
Chicago,17.60682107,0.299501383,0.99224677,453.949077,0.000762082,0.000306444,2.43E-06,2.208022373,909681,1004298
Chongqing,68.39639959,2.333340836,0.999429451,2349.168142,0.000770702,0.00020035,2.18E-06,2.041405092,938387,957814
Cleveland,19.10022971,0.799610593,0.994709344,492.0813485,0.000438038,0.000159914,3.01E-06,2.12324209,704743,748170
Cluj,25.18423576,0.955357949,0.993739134,241.581789,0.001526415,0.000598758,7.53E-05,2.106188995,27969,29454
Cologne,7.590942753,0.86347766,0.985539384,234.1629167,0.001523906,0.000491334,3.11E-05,2.148068887,69157,74277
Copenhagen,20.53037406,0.940288787,0.994894285,540.4708196,0.001440829,0.000514703,8.02E-06,2.120853027,264470,280451
Dallas,31.30653584,1.377290997,0.991607994,696.2812311,0.001215447,0.000361436,1.47E-06,2.164193943,1471589,1592402
Dar Es Salaam,26.80408376,1.06500532,0.996731098,547.8286596,0.000625231,0.00026523,8.52E-06,2.073366752,243380,252308
Dc Baltimore,24.45160055,1.20838633,0.995151492,975.94214,0.00090246,0.000262571,1.10E-06,2.087363083,1889654,1972197
Denver-Boulder,46.39970804,3.213863933,0.990696778,838.5762716,0.000723019,0.00020827,2.26E-06,2.100639989,930485,977307
Detroit,32.80851311,0.945695654,0.989851389,545.8049848,0.000551553,0.000218463,2.21E-06,2.176221746,983613,1070280
Dhaka,24.01972115,1.103626248,0.996556187,399.6302851,0.000404121,0.000159119,1.62E-05,2.119334989,130825,138631
Doha,33.12160819,2.18678681,0.991084816,203.0786377,0.006098704,0.001853363,2.10E-05,2.262251483,107538,121639
Dresden,13.36631356,0.684918695,0.995703797,426.0375766,0.001494219,0.000542295,1.99E-05,2.091553517,105097,109908
Dubai-Abu Dhabi,147.7034742,4.268900485,0.963519302,745.4765877,0.00422739,0.001935979,3.81E-06,2.207735298,580094,640347
Dublin,12.21641659,0.690732577,0.991919647,380.5818731,0.000617997,0.000273627,1.22E-05,2.072571711,169708,175866
Duesseldorf,15.3736626,0.678167494,0.992549649,372.822582,0.001132027,0.000389558,1.43E-05,2.107947042,147665,155635
Edinburgh,15.64939631,0.868747181,0.994490582,463.4629013,0.000569177,0.000216877,1.37E-05,2.072935746,151229,156744
Edmonton,44.28619585,2.723362197,0.996203587,227.3752273,0.002386472,0.00080054,1.42E-05,2.201670084,155561,171247
Florence,40.64835468,1.763258168,0.998235534,814.8641717,0.000693158,0.000277423,1.10E-05,2.058940436,187681,193212
Frankfurt,18.17837725,0.084488771,0.984026144,322.7293603,0.002609388,0.00095544,1.68E-05,2.153692817,128425,138294
Gdansk,34.33124283,2.354235923,0.985406584,628.312059,0.000982771,0.000393153,8.78E-06,2.088156262,237805,248287
Genoa,27.64568218,1.416769108,0.999415666,1190.047422,0.000254037,9.59E-05,1.42E-05,2.023679672,142654,144343
Glasgow,42.06702837,1.786209488,0.999139508,485.5635609,0.000708874,0.000290463,1.02E-05,2.104108077,206593,217347
Gothenburg,13.60890676,0.776249527,0.996229469,378.6547046,0.000777294,0.00023896,1.79E-05,2.059140908,114912,118310
Guangzhou,39.55707809,1.496354649,0.99903339,858.2648601,0.003159653,0.000879676,2.50E-06,2.133499606,853216,910168
Hamburg,32.27896347,1.536819468,0.982891984,660.3353518,0.001839202,0.000712302,4.89E-06,2.104507402,430381,452870
Hampton Roads,22.52569463,0.958944942,0.982642908,520.6177777,0.00057956,0.000165504,5.79E-06,2.111991102,365029,385469
Hangzhou,2.989416994,-5.83E-05,0.986415542,65.79605691,0.002179101,0.00067395,0.000344754,2.200219333,6383,7022
Hanoi,5.559429992,0.184518458,0.966461794,123.7312401,0.004030396,0.001829909,7.82E-05,2.267057404,29005,32878
Helsinki,17.07404541,1.060848278,0.996683732,544.599968,0.002558262,0.000584057,7.33E-06,2.070187357,282615,292533
Ho Chi Minh City,12.85698669,0.374606299,0.991044103,263.8327871,0.002399232,0.001126848,1.69E-05,2.228530357,132175,147278
Hong Kong,25.70651147,1.186327644,0.997294758,864.676254,0.002925801,0.000877516,2.30E-06,2.1515392,934966,1005808
Honolulu,35.88970501,2.203598497,0.994324241,343.3305183,0.001251528,0.000354008,2.79E-05,2.126419429,76175,80990
Houston,31.58243281,1.84550712,0.991816781,518.7849749,0.001519128,0.00047269,2.07E-06,2.177619476,1054524,1148176
Hyderabad,17.54326218,0.456121619,0.99375351,356.1613237,0.001688561,0.001129107,6.41E-06,2.397588462,374201,448590
Istanbul,41.08998866,2.129479554,0.998834367,514.2334872,0.002532422,0.001265898,3.89E-06,2.304500162,592512,682722
Izmir,34.59698578,1.427269626,0.997494764,313.3234102,0.00153162,0.000721708,1.85E-05,2.302565795,124211,143002
Jakarta,28.98683135,0.800832287,0.996064628,495.9524619,0.002552109,0.001545926,2.26E-06,2.241636276,992889,1112848
Jeddah,22.99184544,1.26851045,0.990183148,154.2026473,0.003965643,0.00211808,3.03E-05,2.499248849,82540,103144
Jerusalem,24.13624121,1.033482734,0.99632318,441.0897854,0.00162872,0.000414463,1.67E-05,2.075256777,124135,128806
Johannesburg,35.01805837,1.871185989,0.995817695,313.2315561,0.002545799,0.001170027,6.51E-06,2.309845984,355028,410030
Kansas-City-Lawrence-Topeka,33.50286557,3.410756898,0.968715063,444.4084624,0.000948807,0.000315628,3.24E-06,2.133900758,658413,702494
Karachi,51.83721106,2.406512258,0.996918589,497.3298502,0.0026659,0.001463598,1.51E-05,2.399868813,158552,190252
Kharkiv,24.19167713,1.022454383,0.975756339,200.4157803,0.001907608,0.000806991,5.03E-05,2.18102911,43319,47240
Kolkata,31.93277958,1.701331189,0.997157532,570.3875969,0.000389372,0.000156369,7.64E-06,2.084812182,272791,284359
Krakow,19.2330316,1.317093581,0.992653767,645.6890137,0.000599583,0.000202279,8.01E-06,2.050935324,256168,262692
Kuala Lumpur,30.65443689,1.882742241,0.991638224,411.1857757,0.00174877,0.000700753,6.72E-06,2.206774889,328212,362145
Kyiv,47.39305732,1.719936081,0.9972725,411.5432356,0.002022647,0.000764114,9.90E-06,2.135982692,215851,230527
La Habana,5.782940708,0.234073179,0.996173342,153.6176141,0.004995807,0.002659229,6.49E-05,2.482927976,38279,47522
Lagos,21.5698463,0.507763679,0.996701338,649.8835403,0.004084966,0.00180859,4.06E-06,2.11983792,522706,554026
Las Vegas,87.42252452,3.573800153,0.993060684,320.1722597,0.000723277,0.000261727,7.12E-06,2.15382581,302498,325764
Lima,24.51874733,0.717121493,0.99016074,430.834294,0.002272696,0.001152569,8.22E-06,2.422344914,294868,357136
Lisbon,33.69214705,2.230140961,0.996886537,705.5692946,0.002015762,0.000861641,3.57E-06,2.129301625,596141,634682
London,36.96914472,1.451621378,0.99029054,1030.105394,0.001283931,0.000564555,1.44E-06,2.093556694,1451227,1519113
Los Angeles,75.35347222,2.760130537,0.988861937,1077.023033,0.000773977,0.000263469,1.01E-06,2.14235393,2111006,2261261
Luanda,34.38024216,1.429430228,0.899757868,248.6592606,0.001523,0.000717767,1.23E-05,2.270875037,184838,209872
Lviv,34.6037342,1.406889904,0.996826695,366.8155928,0.001261329,0.000551754,2.03E-05,2.096153102,103356,108325
Madrid,87.19410318,4.892717562,0.998721691,866.4768576,0.001713901,0.000665194,1.82E-06,2.13822474,1175231,1256454
Manchester,11.28476017,0.658027518,0.987793085,523.0558953,0.001304842,0.000579131,6.60E-06,2.11058091,319585,337255
Manila,34.53746447,1.298124521,0.997035067,400.4558638,0.001692067,0.000972758,7.60E-06,2.302637482,303168,349043
Marseille,42.59456698,2.007000149,0.999195772,670.9303333,0.001675269,0.000632304,6.43E-06,2.080240002,323330,336302
Medellin,29.26332752,1.062053602,0.998449801,1022.802947,0.001706846,0.000621414,1.27E-05,2.137446773,168618,180206
Melbourne,76.8495709,3.69996208,0.991497517,724.4569817,0.002491926,0.000879327,2.78E-06,2.172323292,782239,849638
Mexico City,27.5839828,1.159798567,0.992135331,488.9501145,0.004268262,0.002173333,3.90E-06,2.357463406,604543,712594
Miami,85.22625407,10.96047707,0.925026028,399.7862148,0.001793306,0.000585935,3.35E-06,2.22593684,664761,739858
Milan,34.53167813,1.346564371,0.993736923,502.6413483,0.001013121,0.000420104,5.74E-06,2.121011851,369501,391858
Minneapolis-Saint Paul,32.22274528,1.285423516,0.994079625,479.2753721,0.000530246,0.000165066,2.53E-06,2.122627121,839276,890735
Minsk,24.52185462,1.198338588,0.978028669,234.3826951,0.001858584,0.000578979,3.25E-05,2.125527878,65356,69458
Montreal,30.29709647,1.299079446,0.997896432,508.3594147,0.001126706,0.000433973,4.10E-06,2.195665783,535137,587491
Moscow,52.36561453,3.327686619,0.994492474,644.1167344,0.0011834,0.000429969,4.37E-06,2.097388291,480222,503606
Mumbai,31.33138229,1.380704757,0.998745037,703.0783023,0.001888559,0.000630147,1.07E-05,2.115771693,197734,209180
Munich,14.11044943,0.718560114,0.992355417,325.2319455,0.001126863,0.000398081,1.76E-05,2.14682517,122227,131200
Nairobi,34.73624256,2.820437714,0.972795799,352.2152576,0.001866587,0.000995795,3.53E-05,2.140901678,60709,64986
Naples,5.059269083,0.160897555,0.995259629,243.0834829,0.001667616,0.000647075,3.96E-05,2.147997786,54190,58200
Nashville,34.91708814,1.306799504,0.993027401,717.8441496,0.000559229,0.000217865,3.18E-06,2.07866655,653823,679540
New Delhi,55.60801575,2.787851387,0.990056256,381.783658,0.002053485,0.001103048,4.82E-06,2.325520061,482299,560798
New Orleans,36.5544821,1.214027211,0.992738585,545.5473404,0.001301392,0.000514494,7.25E-06,2.201594079,303749,334366
New York,19.28452594,0.719877695,0.998606068,784.6871292,0.001860906,0.000711665,2.01E-06,2.215258211,1102685,1221366
Nizhniy Novgorod,38.53799612,1.007047923,0.990067145,371.2044205,0.000712964,0.00026732,4.54E-05,2.106428818,46416,48886
Oslo,32.74654964,1.563483709,0.997520296,1716.72519,0.000753956,0.00025477,2.81E-06,2.04668818,729478,746507
Ottawa,36.97698798,0.53284304,0.975865379,452.7527407,0.000701094,0.000197342,9.38E-06,2.127654698,226862,241342
Paris,17.77949376,1.844825891,0.989984388,573.0532195,0.002759198,0.000985026,2.52E-06,2.155150972,856353,922785
Perm,48.77983482,3.301674533,0.986317374,282.5644884,0.002212341,0.000916525,5.88E-05,2.106103758,35814,37714
Perth,61.00473801,2.909617673,0.998323889,370.5576276,0.001289506,0.000469939,7.50E-06,2.189186598,292008,319630
Philadelphia,34.36548535,1.40118351,0.987207269,602.7505523,0.001172912,0.00037091,2.39E-06,2.146171947,897532,963129
Phoenix,113.6929734,4.985118536,0.999192429,552.9342351,0.000878728,0.000271527,2.56E-06,2.163347589,845265,914301
Pittsburgh,22.41477399,0.749998005,0.994175227,989.327531,0.000809404,0.000276198,2.73E-06,2.091629855,766737,801865
Port-au-Prince,20.78009362,0.966810539,0.993586617,366.9274619,0.001194685,0.000482285,2.22E-05,2.105987626,94879,99907
Portland,86.36197221,4.292352529,0.996851154,869.5564444,0.000549478,0.000369038,2.91E-06,2.084760233,716822,747201
Porto,19.95579094,1.231690122,0.994063739,507.9736669,0.002220904,0.000963412,6.84E-06,2.122548404,310359,329376
Poznan,15.1759229,0.712579168,0.985601399,371.8922622,0.001874766,0.000662711,2.49E-05,2.125678839,85440,90809
Prague,24.63239947,0.931892113,0.998013027,655.9815042,0.001703109,0.000664822,4.17E-06,2.105004147,505161,531683
Pune,15.44687925,0.558342658,0.997367727,347.3218765,0.001911301,0.000887221,1.93E-05,2.162883345,112203,121341
Raleigh,10.78488575,0.54310993,0.997787051,371.5931772,0.000647641,0.000208028,8.20E-06,2.080843433,253725,263981
Rangoon,56.39094152,2.640328555,0.997645694,588.1598073,0.001607924,0.000948185,1.83E-05,2.379907088,130016,154713
Reykjavik,37.55789649,1.775922652,0.997840145,459.4452027,0.000895458,0.00029782,2.61E-05,2.078038717,79499,82601
Riga,27.64070894,2.303460895,0.98286894,415.3720401,0.002037881,0.000837997,1.67E-05,2.110484994,126352,133332
Rio de Janeiro,72.90493592,3.846947056,0.99593154,721.6263044,0.003507397,0.001697069,4.50E-06,2.255074419,500944,564833
Riyadh,120.755422,6.737458414,0.987357872,184.2940647,0.00230206,0.001197998,1.40E-05,2.532770587,180543,228637
Rome,24.90693559,1.608943942,0.997197799,498.4225992,0.001195496,0.000463635,6.40E-06,2.139700936,334443,357804
Rotterdam,13.16473966,1.046546541,0.986872632,443.8537764,0.002585669,0.000853127,1.01E-05,2.159747444,214764,231918
Saint Louis,28.35302265,1.209792787,0.996450627,590.2495121,0.000830272,0.00028994,2.65E-06,2.110777216,797655,841836
Saint Petersburg,82.13323555,3.46715748,0.992670521,593.6991801,0.001913426,0.000615626,8.26E-06,2.13143001,258145,275109
Samara-Tolyatti,117.3934458,5.191807567,0.994967006,770.4286177,0.001102288,0.00039793,7.63E-06,2.113618065,276963,292697
San Antonio,30.80122033,2.089150185,0.992845862,548.9885793,0.001163646,0.000397984,4.21E-06,2.125234689,504924,536541
San Diego,28.3529209,1.628110924,0.986665595,285.2999654,0.000817445,0.000276929,1.13E-05,2.154875336,190592,205351
San Diego-Tijuana,59.81579806,2.661946689,0.997493886,531.1662846,0.001486998,0.000566272,4.93E-06,2.16384285,438945,474904
San Francisco,30.9503314,1.399729255,0.998684764,595.4586497,0.001171973,0.000381937,5.49E-06,2.146976525,390974,419706
San Francisco Bay Area,130.3632763,5.541202827,0.99846114,1171.881547,0.000894158,0.000273136,1.16E-06,2.115294518,1818109,1922918
San Jose,58.08344631,3.53153009,0.996878089,382.3604866,0.001154881,0.000335619,1.20E-05,2.141300099,179094,191747
Santiago,64.34344349,3.492252807,0.995160164,319.8372135,0.002424557,0.001229782,8.28E-06,2.358879988,284747,335842
Sao Paulo,35.24941566,1.644200823,0.993857386,722.9943064,0.002758614,0.00124073,1.98E-06,2.240123923,1132965,1268991
Seattle,37.64300548,1.532091924,0.998529226,453.381823,0.001025077,0.000436067,3.94E-05,2.09603819,53208,55763
Seoul,28.14427014,1.26031713,0.994967514,483.8399596,0.001361855,0.000583807,3.88E-06,2.250364082,580227,652861
Shanghai,46.45323953,1.174245821,0.998633053,926.7732059,0.002134218,0.000642993,1.79E-06,2.163269293,1208090,1306712
Singapore,41.70726238,2.072545739,0.993947866,439.0390951,0.001681751,0.000652869,8.83E-06,2.202490864,249552,274818
Sofia,61.85696677,2.752650693,0.998716175,622.2939225,0.002311135,0.000826245,9.70E-06,2.124928105,219070,232754
Southampton,2.890396045,0.136145135,0.991782687,179.8774804,0.001225144,0.000450098,8.37E-05,2.091276349,25001,26142
Stockholm,42.23378186,2.210959118,0.996620545,937.5460017,0.00072894,0.000286653,3.89E-06,2.060172488,529777,545716
Strasbourg,31.73423321,1.262417233,0.995759836,527.1037933,0.000826379,0.000342973,7.16E-06,2.117374528,295703,313057
Sydney,62.04965392,3.244340771,0.995105743,498.6643602,0.0007606,0.000269852,5.14E-06,2.15330741,418923,451035
Taipei,12.91663764,0.518553768,0.998593826,369.961268,0.003191031,0.000884069,1.78E-05,2.174155923,122086,132717
Tampa,28.28909903,1.739436493,0.992792429,470.0665064,0.001429063,0.000499022,4.00E-06,2.197287488,549675,603897
Tehran,25.17093092,1.167420215,0.985782708,335.6115289,0.001726868,0.000865036,6.51E-06,2.277658693,349890,398465
Tel Aviv,19.92987418,1.223456187,0.995023237,334.600801,0.004678183,0.001394919,1.13E-05,2.177060197,192251,209271
Thessaloniki,13.61902536,0.760226139,0.995670905,131.7487255,0.005148504,0.002490935,0.00012643,2.386864407,18880,22532
Tianjin,19.22032911,2.599875099,0.945125066,345.238114,0.003071145,0.001024389,1.10E-05,2.200197194,199803,219803
Toronto,20.93968477,0.56594309,0.991885373,418.6286431,0.000254667,9.48E-05,3.45E-06,2.151418285,624099,671349
Tunis,24.10721316,1.943755224,0.988847775,256.5550064,0.004682887,0.002457765,1.96E-05,2.400802486,122619,147192
Turin,17.9292778,1.290325378,0.974677436,311.458654,0.001758894,0.000655584,2.10E-05,2.138720961,102061,109140
Ulaanbaatar,127.4714516,5.149462951,0.997128273,429.8660526,0.000982468,0.000349522,1.92E-05,2.097424924,109356,114683
Valencia,9.848116458,0.683740466,0.952434868,111.8071404,0.006616293,0.003574236,8.65E-05,2.383652136,27551,32836
Venice,23.57675339,1.088339399,0.998808432,716.8874073,0.000702965,0.000306411,5.09E-06,2.090323021,410283,428812
Victoria,52.32925856,2.351358679,0.997006276,766.4875014,0.000709443,0.000279955,1.97E-05,2.071725978,104955,108719
Vienna,23.30067234,1.906716493,0.99086456,444.8008197,0.001010192,0.000354882,9.10E-06,2.133996836,234513,250225
Warsaw,34.33974273,2.007189445,0.98827535,567.3538342,0.001690911,0.000634482,4.91E-06,2.125473344,432825,459979
Wroclaw,28.14592992,1.342628611,0.99772245,660.3150269,0.000812525,0.000285473,8.57E-06,2.072869506,241857,250669
Wuhan,20.81867814,0.806166286,0.979253237,244.6194631,0.001595172,0.000580238,1.88E-05,2.149470807,114136,122666
Zagreb,26.33050641,1.375490775,0.966511124,246.3711541,0.001734617,0.000687194,3.55E-05,2.114521624,59587,62999
Zurich,23.75373465,0.790649166,0.99363108,638.3884849,0.001208331,0.000466457,5.29E-06,2.087549343,394429,411695
